Geo Point;Geo Shape;gid;geom_o;geom_err;ident;insee;adresse;implantation;gestionnaire;libelle;nb_place;nb_pmr;nb_irve;condition_acces;actif;cdate;mdate
44.8317408, -0.5734495;"{""coordinates"": [-0.5734495, 44.8317408], ""type"": ""Point""}";1731;0;;069;33063;75 Cours Pasteur;VOIRIE;CITIZ;Victoire / Pasteur;2;0;0;LIBRE;True;2023-11-28T16:55:29+01:00;2023-11-28T16:55:29+01:00
44.8559313, -0.5340841;"{""coordinates"": [-0.5340841, 44.8559313], ""type"": ""Point""}";1195;0;;073;33119;69 Avenue Jean Jaurès 33150 Cenon;VOIRIE;CITIZ;Gare de Cenon;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T14:54:58+01:00
44.8119081, -0.5906108;"{""coordinates"": [-0.5906108, 44.8119081], ""type"": ""Point""}";1196;0;;083;33522;300 Cours de la Libération 33400 Talence;VOIRIE;CITIZ;Talence Forum;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T15:02:35+01:00
44.8046277, -0.6322038;"{""coordinates"": [-0.6322038, 44.8046277], ""type"": ""Point""}";1197;0;;082;33318;23 Rue Eugène et Marc Dulout 33600 Pessac;VOIRIE;CITIZ;Gare de Pessac;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T15:02:12+01:00
44.8352923, -0.5724625;"{""coordinates"": [-0.5724625, 44.8352923], ""type"": ""Point""}";1198;0;;070;33063;117 Cours Victor Hugo 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Victor Hugo parking Metpark;5;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T16:57:06+01:00
44.8146197, -0.5504697;"{""coordinates"": [-0.5504697, 44.8146197], ""type"": ""Point""}";1204;0;;002;33039;25 Rue Robert Schuman 33130 Bègles;VOIRIE;CITIZ;Bègles Terres Neuves;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T11:09:34+01:00
44.8253783, -0.577599;"{""coordinates"": [-0.577599, 44.8253783], ""type"": ""Point""}";1205;0;;014;33063;166 Cours de l'Argonne 33800 Bordeaux;VOIRIE;CITIZ;Bergonié;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-12-01T13:46:14+01:00
44.8247479, -0.5700105;"{""coordinates"": [-0.5700105, 44.8247479], ""type"": ""Point""}";1210;0;;011';33063;140 Cours de l'Yser 33800 Bordeaux;VOIRIE;CITIZ;Yser / Brémontier;1;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-12-01T13:50:21+01:00
44.8411112, -0.5614312;"{""coordinates"": [-0.5614312, 44.8411112], ""type"": ""Point""}";1214;0;;065;33063;1 Allée Serr 33100 Bordeaux;VOIRIE;CITIZ;Stalingrad Serr;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:50:23+01:00
44.8361236, -0.5753924;"{""coordinates"": [-0.5753924, 44.8361236], ""type"": ""Point""}";1218;0;;047;33063;14 Cours Pasteur 33000 Bordeaux;VOIRIE;CITIZ;Musée Aquitaine;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T15:39:24+01:00
44.8319299, -0.5751025;"{""coordinates"": [-0.5751025, 44.8319299], ""type"": ""Point""}";1219;0;;067;33063;68 Rue Henri IV 33000 Bordeaux;VOIRIE;CITIZ;Victoire HENRI IV;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:52:42+01:00
44.8664174, -0.5753998;"{""coordinates"": [-0.5753998, 44.8664174], ""type"": ""Point""}";1227;0;;062;33063;5 place Ravezies 333000 Bordeaux;VOIRIE;CITIZ;Ravezies;2;0;0;LIBRE;True;2018-10-23T16:01:08+02:00;2023-11-28T16:17:52+01:00
44.8444762, -0.5597399;"{""coordinates"": [-0.5597399, 44.8444762], ""type"": ""Point""}";1231;0;;036;33063;69 Allée Jean Giono;VOIRIE;CITIZ;Giono;3;0;0;LIBRE;True;;2023-11-28T15:01:24+01:00
44.8400005, -0.5830025;"{""coordinates"": [-0.5830025, 44.8400005], ""type"": ""Point""}";1232;0;;116;33063;38 Rue Edmond Michelet 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Gambetta Parking Metpark;0;0;0;SOUS_CONDITION;True;;2023-11-29T16:47:03+01:00
44.8383641, -0.6158506;"{""coordinates"": [-0.6158506, 44.8383641], ""type"": ""Point""}";1234;0;;081;33281;Place Mondésir 33700 Mérignac;VOIRIE;CITIZ;Place Mondésir;1;0;0;LIBRE;True;;2023-11-29T15:01:09+01:00
44.8554174, -0.5710945;"{""coordinates"": [-0.5710945, 44.8554174], ""type"": ""Point""}";1235;0;;12';33063;1 Crs Balguerie Stuttenberg;VOIRIE;CITIZ;Picard;2;0;0;LIBRE;True;;2023-11-29T16:36:20+01:00
44.8309778, -0.5719253;"{""coordinates"": [-0.5719253, 44.8309778], ""type"": ""Point""}";1238;0;;068;33063;10 Place de la Victoire 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Victoire Parking Metpark;2;0;0;LIBRE;True;;2023-11-28T16:53:00+01:00
44.8637812, -0.6061357;"{""coordinates"": [-0.6061357, 44.8637812], ""type"": ""Point""}";1749;0;;126;33069;Av De Lattre De Tassigny;AUTRE;CITIZ;Titi Floris Tassigny;1;0;0;LIBRE;True;2023-11-29T17:08:34+01:00;2023-11-29T17:08:34+01:00
44.8605123, -0.6563005;"{""coordinates"": [-0.6563005, 44.8605123], ""type"": ""Point""}";1739;0;;101;33162;Rue de Castrillon;VOIRIE;CITIZ;Titi Floris Eysines;1;0;0;LIBRE;True;2023-11-29T16:07:11+01:00;2023-11-29T16:07:11+01:00
44.8523042, -0.6549317;"{""coordinates"": [-0.6549317, 44.8523042], ""type"": ""Point""}";1741;0;;105;33281;27 rue des Vignobles;PARKING_PUBLIC;CITIZ;Titi Floris Vignobles;1;0;0;LIBRE;True;2023-11-29T16:20:02+01:00;2023-11-29T16:20:02+01:00
44.8247131, -0.6550373;"{""coordinates"": [-0.6550373, 44.8247131], ""type"": ""Point""}";1742;0;;106;33281;33 Rue de Clairiere des Ontines;VOIRIE;CITIZ;Titi Floris les Ontines;1;0;0;LIBRE;True;2023-11-29T16:23:01+01:00;2023-11-29T16:23:01+01:00
44.8604125, -0.5758557;"{""coordinates"": [-0.5758557, 44.8604125], ""type"": ""Point""}";1746;0;;121;33063;2 Rue des Frères Portmann;VOIRIE;CITIZ;Titi Floris Portmann;1;0;0;LIBRE;True;2023-11-29T16:56:55+01:00;2023-11-29T16:56:55+01:00
44.8637956, -0.6195992;"{""coordinates"": [-0.6195992, 44.8637956], ""type"": ""Point""}";1698;0;;006;33063;240 Avenue d'Eysines, face au 421;VOIRIE;CITIZ;avenue d'Eysines;2;0;0;LIBRE;True;2023-11-28T11:18:24+01:00;2023-11-28T11:18:24+01:00
44.8537685, -0.592325;"{""coordinates"": [-0.592325, 44.8537685], ""type"": ""Point""}";1700;0;;011;33063;8 Rue Nicolas Beaujon;PARKING_PUBLIC;CITIZ;Beaujon;1;0;0;LIBRE;True;2023-11-28T11:54:57+01:00;2023-11-28T13:21:52+01:00
44.835816, -0.5694336;"{""coordinates"": [-0.5694336, 44.835816], ""type"": ""Point""}";1702;0;;016;33063;Face 2 Rue des Boucheries;VOIRIE;CITIZ;Boucheries;2;0;0;LIBRE;True;2023-11-28T13:18:47+01:00;2023-11-28T13:18:47+01:00
44.8370222, -0.5775779;"{""coordinates"": [-0.5775779, 44.8370222], ""type"": ""Point""}";1704;0;;022;33063;12-14 Rue du Cdt Arnould;VOIRIE;CITIZ;Commandant Arnould;2;0;0;LIBRE;True;2023-11-28T13:40:55+01:00;2023-11-28T13:40:55+01:00
44.8354213, -0.5990012;"{""coordinates"": [-0.5990012, 44.8354213], ""type"": ""Point""}";1711;0;;032;33063;25 Blvd Antoine Gauthier;VOIRIE;CITIZ;Gauthier / Chartreuse;2;0;0;LIBRE;True;2023-11-28T14:50:29+01:00;2023-11-28T14:50:29+01:00
44.8598101, -0.5812434;"{""coordinates"": [-0.5812434, 44.8598101], ""type"": ""Point""}";1713;0;;037;33063;36 Louis Geandreau;VOIRIE;CITIZ;Grand Parc / Europe;1;0;0;LIBRE;True;2023-11-28T15:05:04+01:00;2023-11-28T15:05:04+01:00
44.8375215, -0.5812396;"{""coordinates"": [-0.5812396, 44.8375215], ""type"": ""Point""}";1714;0;;038;33063;Cours d'Albret (Jardins hôtel de ville);VOIRIE;CITIZ;Jardins Hôtel de Ville;2;0;0;LIBRE;True;2023-11-28T15:20:14+01:00;2023-11-28T15:20:14+01:00
44.816646, -0.5491636;"{""coordinates"": [-0.5491636, 44.816646], ""type"": ""Point""}";1715;0;;040;33063;258 Blvd JJ Bosc, face au 241;VOIRIE;CITIZ;Jean-Jacques Bosc;2;0;0;LIBRE;True;2023-11-28T15:24:13+01:00;2023-12-01T14:09:50+01:00
44.8633045, -0.5571561;"{""coordinates"": [-0.5571561, 44.8633045], ""type"": ""Point""}";1718;0;;043;33063;37 Rue Lucien Faure - 33300 Bordeaux;VOIRIE;CITIZ;Lucien Faure;2;0;0;LIBRE;True;2023-11-28T15:29:00+01:00;2023-11-28T15:29:00+01:00
44.838307, -0.5835208;"{""coordinates"": [-0.5835208, 44.838307], ""type"": ""Point""}";1719;0;;015;33063;Rue Cl Bonnier / angle Ch d'eau;VOIRIE;CITIZ;Bonnier / Chateau d'Eau;1;0;0;LIBRE;True;2023-11-28T15:34:08+01:00;2023-11-28T15:34:08+01:00
44.8304465, -0.5886898;"{""coordinates"": [-0.5886898, 44.8304465], ""type"": ""Point""}";1720;0;;046;33063;169 Rue de Mouneyra;VOIRIE;CITIZ;Mouneyra;2;0;0;LIBRE;True;2023-11-28T15:38:47+01:00;2023-11-28T15:38:47+01:00
44.8215272, -0.5724988;"{""coordinates"": [-0.5724988, 44.8215272], ""type"": ""Point""}";1721;0;;048;33063;231 Cours de la Somme - 33800 Bordeaux;VOIRIE;CITIZ;Nansouty / Somme;2;0;0;LIBRE;True;2023-11-28T15:42:06+01:00;2023-11-28T15:42:06+01:00
44.8261032, -0.5473913;"{""coordinates"": [-0.5473913, 44.8261032], ""type"": ""Point""}";1723;0;;050;33063;Quai de Paludate;PARKING_PUBLIC;CITIZ;Paludate;2;0;0;SOUS_CONDITION;True;2023-11-28T15:53:56+01:00;2023-11-28T15:53:56+01:00
44.8460713, -0.6132086;"{""coordinates"": [-0.6132086, 44.8460713], ""type"": ""Point""}";1726;0;;056;33063;Rue Bahr;VOIRIE;CITIZ;Place Lopès / Bahr;2;0;0;LIBRE;True;2023-11-28T16:04:50+01:00;2023-11-28T16:04:50+01:00
44.8788931, -0.5706671;"{""coordinates"": [-0.5706671, 44.8788931], ""type"": ""Point""}";1194;0;;035;33063;29 Cours de Québec 33300 Bordeaux;VOIRIE;CITIZ;Ginko;1;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T15:00:46+01:00
44.8448461, -0.5784299;"{""coordinates"": [-0.5784299, 44.8448461], ""type"": ""Point""}";1199;0;;066;33063;1 Rue Huguerie 33000 Bordeaux;VOIRIE;CITIZ;Tourny (Huguerie);3;0;0;LIBRE;True;2017-12-05T09:21:53+01:00;2023-11-28T16:51:36+01:00
44.8498715, -0.5707064;"{""coordinates"": [-0.5707064, 44.8498715], ""type"": ""Point""}";1201;0;;020;33063;17 quai des Chartrons 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Cité Mondiale Parcub;3;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T13:28:45+01:00
44.8302086, -0.5609472;"{""coordinates"": [-0.5609472, 44.8302086], ""type"": ""Point""}";1202;0;;064;33063;2bis Rue des Étables 33800 Bordeaux;VOIRIE;CITIZ;Sainte Croix Etables;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:49:51+01:00
44.8271501, -0.5579354;"{""coordinates"": [-0.5579354, 44.8271501], ""type"": ""Point""}";1203;0;;031;33063;4 Rue Saint-Vincent-de-Paul 33800 Bordeaux;VOIRIE;CITIZ;Gare Saint Jean;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T14:48:08+01:00
44.8406927, -0.6472622;"{""coordinates"": [-0.6472622, 44.8406927], ""type"": ""Point""}";1206;0;;080;33281;21 Avenue du Maréchal Leclerc 33700 Mérignac;VOIRIE;CITIZ;Mérignac Centre;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T14:58:14+01:00
44.8340509, -0.5902734;"{""coordinates"": [-0.5902734, 44.8340509], ""type"": ""Point""}";1209;0;;037;33063;37 Rue Général de Larminat 33000 Bordeaux;VOIRIE;CITIZ;Larminat;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T14:58:59+01:00
44.8299125, -0.6029859;"{""coordinates"": [-0.6029859, 44.8299125], ""type"": ""Point""}";1211;0;;051;33063;6 rue de Canolle 33000 Bordeaux;VOIRIE;CITIZ;Pellegrin;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T15:54:31+01:00
44.8379465, -0.576175;"{""coordinates"": [-0.576175, 44.8379465], ""type"": ""Point""}";1212;0;;053;33063;17 Place Pey Berland 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Parking Pey Berland Metpark;3;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T15:57:37+01:00
44.8598847, -0.554837;"{""coordinates"": [-0.554837, 44.8598847], ""type"": ""Point""}";1215;0;;017;33063;76 quai de Bacalan 33300 Bordeaux;VOIRIE;CITIZ;Cap Sciences;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T13:21:11+01:00
44.8513151, -0.5962101;"{""coordinates"": [-0.5962101, 44.8513151], ""type"": ""Point""}";1216;0;;018;33063;7 Avenue Carnot 33200 Bordeaux;VOIRIE;CITIZ;Carnot Parc Bordelais;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T13:24:02+01:00
44.8466425, -0.573551;"{""coordinates"": [-0.573551, 44.8466425], ""type"": ""Point""}";1221;0;;061;33063;31 Allées de Chartres 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Quinconces Parking Metpark;5;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T16:14:27+01:00
44.8256214, -0.5884047;"{""coordinates"": [-0.5884047, 44.8256214], ""type"": ""Point""}";1223;0;;009;33063;1 rue de Ségur 33000 Bordeaux;VOIRIE;CITIZ;Barrière de Pessac;2;0;0;LIBRE;True;2018-10-23T15:49:50+02:00;2023-11-28T11:51:25+01:00
44.8249915, -0.563388;"{""coordinates"": [-0.563388, 44.8249915], ""type"": ""Point""}";1224;0;;044;33063;90 rue Malbec 33800 Bordeaux;VOIRIE;CITIZ;Malbec;2;0;0;LIBRE;True;2018-10-23T15:53:45+02:00;2023-11-28T15:29:31+01:00
44.826229, -0.6242972;"{""coordinates"": [-0.6242972, 44.826229], ""type"": ""Point""}";1228;0;;079;33281;2 Rue Camille Vic 33700 Mérignac;VOIRIE;CITIZ;Arlac Peychotte;1;0;0;LIBRE;True;;2023-11-29T14:57:54+01:00
44.8518723, -0.5722257;"{""coordinates"": [-0.5722257, 44.8518723], ""type"": ""Point""}";1230;0;;019;33063;11 Place du Marché Chartrons;VOIRIE;CITIZ;Chartrons / Notre Dame;2;0;0;LIBRE;True;;2023-11-28T13:28:01+01:00
44.8658614, -0.5993793;"{""coordinates"": [-0.5993793, 44.8658614], ""type"": ""Point""}";1233;0;;078;33069;12bis Rue Coudol 33110 Le Bouscat;VOIRIE;CITIZ;Mairie du Bouscat (parking Rue Coudol);1;0;0;LIBRE;True;;2023-11-29T14:57:21+01:00
44.8845296, -0.6028656;"{""coordinates"": [-0.6028656, 44.8845296], ""type"": ""Point""}";1733;0;;072;33075;Rue du Réduit, 33520 Bruges;VOIRIE;CITIZ;Réduit Grand Darnal;3;0;0;LIBRE;True;2023-11-29T14:51:38+01:00;2023-11-29T14:51:38+01:00
