gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241205;241205;158083;BORDEAUX;2024-09-09;2024-10-11;24BORAJPT19987;EMPRISE;Rétrécissement de largeur de voie;305423;Avenue de Laroque (Bordeaux);241205
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241051;241051;154542;BORDEAUX;2024-09-23;2024-10-04;24BORAJPT19801;EMPRISE;"Mise en impasse;Mesure libre circulation;Neutralisation de voie";305238;9 Rue de l'Abbesse;241051
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242867;242867;102434;BORDEAUX;2024-09-18;2025-09-20;24BORAJPT21189;EMPRISE;Mesure libre circulation;307446;Place de Stalingrad;242867
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242547;242547;92514;BORDEAUX;2024-09-23;2025-02-21;24BORAJPT20807;EMPRISE;"Mesure libre circulation;Neutralisation de voie";307046;- Barrière d'ARES (sur 50 mètres de part et d'autre du croisement) -- - Barrière Saint Augustin (sur 50 mètres de part et d'autre du croisement) -- - Barrière d'Ornano (sur 50 mètres de part et d'autre du croisement) -- - Barrière de Pessac (sur 50 mètres de part et d'autre du croisement) -- - Boulevard Maréchal Leclerc croisement Rue du 144ème Régiment d'Infanterie et Rue Cheminade (sur       50 mètres de part et d'autre du croisement) -- - Rue Costedoat -- - Place Saint Augustin;242547
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.240742;240742;157129;BORDEAUX;2024-09-23;2024-10-11;24BORAJPT19737;EMPRISE;Interruption de circulation;304858;32 Rue du Pas Saint-Georges (Bordeaux);240742
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241861;241861;158498;BORDEAUX;2024-10-02;2024-10-02;24BORAJPT20364;EMPRISE;Rétrécissement de largeur de voie;306233;22 Rue Jean Royer (Bordeaux);241861
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242064;242064;126171;BORDEAUX;2024-09-23;2024-10-11;24BORAJPT20685;DEVIATION/EMPRISE;"Déviation,Circulation interdite;Interdiction de stationnement;Mise en impasse";306458/306457;Rue Lucien Duffau, de la Rue Marsan jusqu'au Cours de Luze (Bordeaux)/Rue Marsan, de l'Impasse de la Prairie jusqu'à la Rue Cazalis (Bordeaux);242064
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242402;242402;153653;BORDEAUX;2024-09-30;2024-11-29;24BORAJPT20839;EMPRISE/DEVIATION/EMPRISE/EMPRISE/EMPRISE/DEVIATION;"Limitation de vitesse;Circulation interdite;Interdiction de stationnement,Déviation,Neutralisation de voie;Limitation de vitesse;Circulation alternée;Interdiction de stationnement,Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement,Neutralisation de voie;Circulation alternée;Limitation de vitesse,Déviation";306859/306860/306863/306862/306864/306861;Rue Paul Doumer, de l'Avenue du Maréchal de Lattre de Tassigny jusqu'à la Rue Jerome Mauvigney (Bordeaux) Rue Paul Doumer, de la Rue Alfred Duprat jusqu'à la Rue du Docteur Cachau (Bordeaux)/Rue Paul Doumer, rue Jerome Mauvigney, rue du Chateau Jouguet, avenue du Mal de Lattre de Tassigny et inversement/Rue Falquet (Bordeaux)/Rue Château Jouguet rue Fernand Barthelemy, rue Camille Renouil, rue Alfred Duprat, rue du Docteur Cachau/Rue Paul Doumer, de la Rue Jerome Mauvigney jusqu'à la Rue Alfred Duprat (Bordeaux)/Rue Paul Doumer, rue du Docteur Cachau, rue du Chateau Jouguet, rue Alfred Duprat;242402
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.241039;241039;91050;BORDEAUX;2024-09-23;2025-02-21;24BORAJPT19989;EMPRISE;Interruption de circulation;305224;Quartier centre ville Bordeaux;241039
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242043;242043;157658;BORDEAUX;2024-09-30;2024-10-31;24BORAJPT20537;DEVIATION/EMPRISE/DEVIATION;"Déviation,Interdiction de stationnement;Circulation interdite;Mise en impasse,Déviation";306433/306432/306434;rue des Vivants, rue de Deyme, avenue Thiers, vers rue de Lauzac (Bordeaux)/du 10 au 30 Rue de Lauzac (Bordeaux)/Rue des Vivants, avenue Thiers (demi-tours niveau rue Galin et face rue Capitaine Ferrand), vers rue de Lauzac (Bordeaux);242043
