Geo Point;Geo Shape;gid;geom_o;geom_err;ident;id_local;libelle;adresse;insee;implantation;actif;nb_place;nb_pmr;nb_irve;condition_acces;accessibilite_24_24;gestionnaire;cdate;mdate
44.9003057, -0.6166964;"{""coordinates"": [-0.6166964, 44.9003057], ""type"": ""Point""}";1385;0;;33075-C-002;39;Reserve naturelle de Bruges;1 avenue du 11 novembre 33520 Bruges;33075;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2016-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8420838, -0.6673048;"{""coordinates"": [-0.6673048, 44.8420838], ""type"": ""Point""}";1394;0;;33281-C-012;56;Place du General Gouraud;7 rue General de Castelnau 33700 Merignac;33281;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8731013, -0.6335468;"{""coordinates"": [-0.6335468, 44.8731013], ""type"": ""Point""}";1395;0;;33162-C-012;45;Parking rue des Papillons;20 avenue du Taillan Medoc 33320 Eysines;33162;VOIRIE_PUBLIQUE;True;2;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8151015, -0.5231592;"{""coordinates"": [-0.5231592, 44.8151015], ""type"": ""Point""}";1401;0;;33065-C-001;37;Centre commercial Bouliac - Giratoire du Drive;acces centre commercial Auchan 33270 Bouliac;33065;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2018-05-24T15:22:26+02:00;2021-11-18T15:24:02+01:00
44.8833531, -0.5687742;"{""coordinates"": [-0.5687742, 44.8833531], ""type"": ""Point""}";1410;0;;33063-C-003;5;Parc-relais Quarante journeaux;rue du Professeur Andre Lavignolle 33000 Bordeaux;33063;PARKING_RELAIS;True;10;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8885631, -0.6109345;"{""coordinates"": [-0.6109345, 44.8885631], ""type"": ""Point""}";1412;0;;33075-C-004;10;Parc-relais Gare de Bruges (abonnes Tbm);avenue de Terrefort 33520 Bruges;33075;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.858812, -0.668254;"{""coordinates"": [-0.668254, 44.858812], ""type"": ""Point""}";1414;0;;33200-C-001;13;Parc-relais Le Hailland Rostand;rue Adrienne Bolland 33185 Le Haillan;33200;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8319994, -0.6459841;"{""coordinates"": [-0.6459841, 44.8319994], ""type"": ""Point""}";1419;0;;33281-C-014;18;Parc-relais des Quatre chemins;250 avenue de la Marne 33700 Merignac;33281;PARKING_RELAIS;True;10;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.7937107, -0.6348099;"{""coordinates"": [-0.6348099, 44.7937107], ""type"": ""Point""}";1420;0;;33318-C-003;22;Parc-relais Bougnard;avenue Bougnard 33600 Pessac;33318;PARKING_RELAIS;True;6;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.7938466, -0.657279;"{""coordinates"": [-0.657279, 44.7938466], ""type"": ""Point""}";1422;0;;33318-C-005;24;Parc-relais Gare de Pessac Alouette;rue Notre Dame de Lorette 33600 Pessac;33318;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
